rank,score,competitorId,url
1,719.92,NaotoshiFujita,https://web-speed-hackathon-335112.an.r.appspot.com/
2,719.91,sapphi-red,https://web-speed-hackathon-online-2021-mini2.sapphi.red/
3,668.62,tk1024,https://web-speed-2021.ue.r.appspot.com/
4,664.87,Karibash,https://ca-web-speed-hackathon-2021.karibash.com/
5,655.13,3846masa,https://sandbox-wsh-2021.an.r.appspot.com/
6,649.46,hira777,https://web-speed-2021-soarflat.herokuapp.com/
7,641.97,shellingford330,https://ca-writter.herokuapp.com/
8,633.83,reyu0722,http://ec2-3-113-22-168.ap-northeast-1.compute.amazonaws.com/
9,623.83,pvcresin,https://pvcresin-wsh-2021.herokuapp.com/
10,613.21,shgtkshruch,https://ca-web-speed-hackathon-2021.herokuapp.com/
11,607.11,Co9xs,https://web-speed-hackathon-2021-co9xs.herokuapp.com/
12,603.69,taaaaaaak22,https://web-speed-hackathon-2021-app.herokuapp.com/
13,591.67,imamiya-masaki,https://axiomatic-path-334410.dt.r.appspot.com/
14,578.31,taiga533,https://www.taiga553.ninja/
15,528.11,mkizka,https://floating-dusk-76675.herokuapp.com/
16,497.02,motoki317,https://wsh2021.toki317.dev/
17,485.89,math314,https://powerful-lake-98455.herokuapp.com/
18,435.35,mktbsh,https://mktbsh-wsh2021.herokuapp.com/
19,421.06,taiki-fw,https://web-speed-hackathon-2021-taiki.herokuapp.com/
20,420.01,mazrean,https://wsh2.herokuapp.com/
21,408.38,airtoxin,https://web-speed-hackathon-2021-atx.herokuapp.com/
22,396.05,Leko,https://leko-web-speed-hackathon-2021.herokuapp.com/
23,355.31,azu,https://web-speed-hackathon-2021-azu.herokuapp.com/
24,344.56,hiro0218,https://web-speed-hackathon-2021-hiro.herokuapp.com/
25,310.87,mgr-kb,https://web-speed-hackathon-2021-mgr.herokuapp.com/
26,294.06,kentaro84207,https://web-speed-hackathon-2021-ke.herokuapp.com/
27,288.21,tiqwab,https://web-speed-hackathon-2021-tiqwa.herokuapp.com/
28,253.25,toshi-pono,https://wsh-2021-toshi00.herokuapp.com/
29,249.72,ktpi2000,https://wsh2021-ca.herokuapp.com/
30,225.58,matsuu,https://web-speed-hackathon-2021matsuu.herokuapp.com/
31,198.07,shun91,https://shun91-web-speed-hack-2021.herokuapp.com/
32,189.65,nissy-dev,https://polar-river-66365.herokuapp.com/
33,166.66,RinGoku,https://ws-hackathon-2021-ringoku.herokuapp.com/
34,144.95,go-to-the-future,https://web-speed-hackathon-2021-kr.herokuapp.com/
35,142.7,arus307,https://web-speed-hackathon-2021-arus.herokuapp.com/
36,140.32,Kazuhiro-Mimaki,https://web-speed-hackathon-2021-b1ess.herokuapp.com/
37,117.43,tofu4956,https://catw.herokuapp.com/
38,92.32,nasustim,https://still-savannah-77812.herokuapp.com/
39,90.1,Nyoho,https://wsh2021attentive.herokuapp.com/
40,86.58,Coordinate-Cat,https://web-speed-hackathon-ocat.herokuapp.com/
41,86.38,seakid,https://wsh-2021-seakid.herokuapp.com/
42,82.62,t-yng,https://fierce-cove-65311.herokuapp.com/
43,79.2,bati11,https://desolate-hollows-81454.herokuapp.com/
44,78.26,CyberAgentHack,https://web-speed-hackathon-2021.herokuapp.com/
45,65.08,masibw,https://web-speed-hackathon-2021-masi.herokuapp.com/
46,62.62,ookam,https://speed-2021.mx1.net/
47,62.41,eichisanden,https://powerful-chamber-16064.herokuapp.com/
48,62.27,mochi-sann,https://cb-speedapp.herokuapp.com/
49,61.09,masa08,https://wsh-2021-masa08.herokuapp.com/
50,61.05,ootake-uniface,https://young-meadow-27099.herokuapp.com/
51,55.43,inductor,https://web-speed-hackathon-2021.inductor.me/
52,52.88,schktjm,https://web-speed-hackathon-2021-ca.herokuapp.com/
53,51.76,Yury1223,https://salty-cove-70388.herokuapp.com/
54,50.31,progfay,https://frozen-bayou-46679.herokuapp.com/
55,45.8,kamoseiro-tabetai,https://speedchecker202112.herokuapp.com/
55,45.8,hiroshi-kato,https://obscure-reaches-77971.herokuapp.com/
57,45.65,unirt,https://dev.d285jqf7ijjnec.amplifyapp.com/
